UF de notificação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
11 Rondônia;15400;10960;8031;4053;2110;1172;783;725;665;1767;5929;8850
12 Acre;16787;19674;14931;6037;2849;1513;1169;695;902;1546;4388;9018
13 Amazonas;16321;29104;24915;9770;4931;3139;2398;1792;1322;1553;2557;4017
14 Roraima;1263;1577;1966;1994;2585;2884;2370;1805;1137;660;678;678
15 Pará;13903;15212;14663;9426;5191;3047;2346;2819;2426;2735;4202;4227
16 Amapá;1620;1814;1673;1230;839;588;542;944;891;917;715;379
17 Tocantins;8198;9038;9435;8276;6157;3249;1492;1043;859;977;1918;2645
21 Maranhão;2719;4256;5622;4470;3645;2734;2171;2901;1582;846;632;694
22 Piauí;2299;3378;5740;7628;8333;5183;3289;1983;1106;550;611;715
23 Ceará;12305;19573;32798;48989;54153;20793;10293;6842;4088;3722;4370;5343
24 Rio Grande do Norte;5667;8209;14579;21064;20107;11404;7625;5042;2647;2175;2143;2079
25 Paraíba;1913;4080;6890;9032;7935;5443;4307;3074;1824;1263;938;870
26 Pernambuco;5711;9643;16886;20362;19317;13343;9776;5585;2618;2064;1951;1830
27 Alagoas;3310;5145;14383;20685;20657;13340;10025;7069;4985;3366;2892;2050
28 Sergipe;1159;1558;3857;9893;9625;2599;1012;610;420;422;406;371
29 Bahia;23175;43206;81950;69946;45474;20166;11384;6589;4317;4165;5678;7368
31 Minas Gerais;60929;109223;238000;230955;99360;22648;6235;2717;2276;2911;5578;14722
32 Espírito Santo;14599;23331;39303;42138;36105;15798;7134;4369;2693;2666;3910;6833
33 Rio de Janeiro;48739;90416;206065;228031;121125;39098;12810;6925;4670;4980;6679;11180
35 São Paulo;31939;83509;170956;169762;83692;16467;4609;2391;2056;2633;3186;6227
41 Paraná;9525;23746;45303;38242;15189;2570;631;370;391;553;1055;3151
42 Santa Catarina;148;169;158;186;75;24;15;8;4;14;24;36
43 Rio Grande do Sul;147;908;2387;925;185;42;25;27;13;14;26;44
50 Mato Grosso do Sul;38056;41947;38859;24408;10353;2475;1178;704;786;1022;3319;7601
51 Mato Grosso;29067;23208;23375;23471;17803;7535;4879;3345;2840;4775;12063;16231
52 Goiás;58332;63697;68725;57784;34390;13975;6683;5988;5714;8244;13100;20998
53 Distrito Federal;2550;4638;8122;9618;8469;3475;1534;641;411;359;405;672
